State,Average Income,Year,,,,,,,,,,,,
New Hampshire,76092.325,2016,,,,,,,,,,,,
New Jersey,552051.4,2016,,,,,,,,,,,,
New Mexico,81414.1,2016,,,,,,,,,,,,
New York,1194534.625,2016,,,,,,,,,,,,
North Carolina,432626.2,2016,,,,,,,,,,,,
North Dakota,39765.825,2016,,,,,,,,,,,,
Ohio,529069.65,2016,,,,,,,,,,,,
Oklahoma,166547.725,2016,,,,,,,,,,,,
Oregon,188283.325,2016,,,,,,,,,,,,
Pennsylvania,661160.075,2016,,,,,,,,,,,,
Rhode Island,53229.675,2016,,,,,,,,,,,,
South Carolina,202215.375,2016,,,,,,,,,,,,
South Dakota,42336.8,2016,,,,,,,,,,,,
Tennessee,290239.85,2016,,,,,,,,,,,,
Texas,1296480.775,2016,,,,,,,,,,,,
Utah,127881.425,2016,,,,,,,,,,,,
Vermont,31575.65,2016,,,,,,,,,,,,
Virginia,449830.125,2016,,,,,,,,,,,,
Washington,401774.275,2016,,,,,,,,,,,,
West Virginia,68630.1,2016,,,,,,,,,,,,
Wisconsin,274374.65,2016,,,,,,,,,,,,
Wyoming,31908.55,2016,,,,,,,,,,,,
Alabama,199191.775,2017,,,,,,,,,,,,
Alaska,42431.375,2017,,,,,,,,,,,,
Arizona,299249.15,2017,,,,,,,,,,,,
Arkansas,125285.925,2017,,,,,,,,,,,,
California,2318280.9,2017,,,,,,,,,,,,
Colorado,309417.325,2017,,,,,,,,,,,,
Connecticut,252571.3,2017,,,,,,,,,,,,
Delaware,48476.2,2017,,,,,,,,,,,,
District of Columbia,54464.825,2017,,,,,,,,,,,,
Florida,1023855.35,2017,,,,,,,,,,,,
Georgia,469213.5,2017,,,,,,,,,,,,
Hawaii,74542.8,2017,,,,,,,,,,,,
Idaho,71888.425,2017,,,,,,,,,,,,
Illinois,692895.85,2017,,,,,,,,,,,,
Indiana,300964.625,2017,,,,,,,,,,,,
Iowa,149420.3,2017,,,,,,,,,,,,
Kansas,142421.6,2017,,,,,,,,,,,,
Kentucky,182391.55,2017,,,,,,,,,,,,
Louisiana,206121.5,2017,,,,,,,,,,,,
Maine,62372.125,2017,,,,,,,,,,,,
Maryland,361606.225,2017,,,,,,,,,,,,
Massachusetts,463980.9,2017,,,,,,,,,,,,
Michigan,459437.95,2017,,,,,,,,,,,,
Minnesota,304179.55,2017,,,,,,,,,,,,
Mississippi,110093.025,2017,,,,,,,,,,,,
Missouri,276573.925,2017,,,,,,,,,,,,
Montana,48704.8,2017,,,,,,,,,,,,
Nebraska,96996.225,2017,,,,,,,,,,,,
Nevada,140347.475,2017,,,,,,,,,,,,
New Hampshire,79312.475,2017,,,,,,,,,,,,
New Jersey,573105.525,2017,,,,,,,,,,,,
New Mexico,82903.6,2017,,,,,,,,,,,,
New York,1270251.55,2017,,,,,,,,,,,,
North Carolina,453729.175,2017,,,,,,,,,,,,
North Dakota,40266.3,2017,,,,,,,,,,,,
Ohio,547516.625,2017,,,,,,,,,,,,
Oklahoma,174159.6,2017,,,,,,,,,,,,
Oregon,198957.525,2017,,,,,,,,,,,,
Pennsylvania,678604.55,2017,,,,,,,,,,,,
Rhode Island,55310.675,2017,,,,,,,,,,,,
South Carolina,212325.25,2017,,,,,,,,,,,,
South Dakota,43599.025,2017,,,,,,,,,,,,
Tennessee,302461.65,2017,,,,,,,,,,,,
Texas,1387922.55,2017,,,,,,,,,,,,
Utah,135162.175,2017,,,,,,,,,,,,
Vermont,32445.475,2017,,,,,,,,,,,,
Virginia,466610.75,2017,,,,,,,,,,,,
Washington,426442.65,2017,,,,,,,,,,,,
West Virginia,71344.525,2017,,,,,,,,,,,,
Wisconsin,284576.475,2017,,,,,,,,,,,,
Wyoming,32952.325,2017,,,,,,,,,,,,
Alabama,206712.025,2018,,,,,,,,,,,,
Alaska,43981.15,2018,,,,,,,,,,,,
Arizona,316896.3,2018,,,,,,,,,,,,
Arkansas,130033.325,2018,,,,,,,,,,,,
California,2431773.85,2018,,,,,,,,,,,,
Colorado,331850.95,2018,,,,,,,,,,,,
Connecticut,263357.55,2018,,,,,,,,,,,,
Delaware,51191.25,2018,,,,,,,,,,,,
District of Columbia,56707.525,2018,,,,,,,,,,,,
Florida,1088794.65,2018,,,,,,,,,,,,
Georgia,493507.35,2018,,,,,,,,,,,,
Hawaii,76168.3,2018,,,,,,,,,,,,
Idaho,76435.15,2018,,,,,,,,,,,,
Illinois,728667,2018,,,,,,,,,,,,
Indiana,315740.425,2018,,,,,,,,,,,,
Iowa,155916.35,2018,,,,,,,,,,,,
Kansas,148523.175,2018,,,,,,,,,,,,
Kentucky,188348.35,2018,,,,,,,,,,,,
Louisiana,215086.45,2018,,,,,,,,,,,,
Maine,65015.1,2018,,,,,,,,,,,,
Maryland,371870.275,2018,,,,,,,,,,,,
Massachusetts,487436.525,2018,,,,,,,,,,,,
Michigan,477925.425,2018,,,,,,,,,,,,
Minnesota,319452.625,2018,,,,,,,,,,,,
Mississippi,112738.975,2018,,,,,,,,,,,,
Missouri,288564.85,2018,,,,,,,,,,,,
Montana,50780.05,2018,,,,,,,,,,,,
Nebraska,100995.05,2018,,,,,,,,,,,,
Nevada,149611.85,2018,,,,,,,,,,,,
New Hampshire,83026.05,2018,,,,,,,,,,,,
New Jersey,598428.675,2018,,,,,,,,,,,,
New Mexico,86685.575,2018,,,,,,,,,,,,
New York,1311427.475,2018,,,,,,,,,,,,
North Carolina,476308.7,2018,,,,,,,,,,,,
North Dakota,42733.075,2018,,,,,,,,,,,,
Ohio,568458.4,2018,,,,,,,,,,,,
Oklahoma,182341.175,2018,,,,,,,,,,,,
Oregon,211541.625,2018,,,,,,,,,,,,
Pennsylvania,714331.525,2018,,,,,,,,,,,,
Rhode Island,57490.45,2018,,,,,,,,,,,,
South Carolina,221707.2,2018,,,,,,,,,,,,
South Dakota,45660.875,2018,,,,,,,,,,,,
Tennessee,319022.25,2018,,,,,,,,,,,,
Texas,1482714.15,2018,,,,,,,,,,,,
Utah,145255.775,2018,,,,,,,,,,,,
Vermont,33576.975,2018,,,,,,,,,,,,
Virginia,483922.075,2018,,,,,,,,,,,,
Washington,454583.525,2018,,,,,,,,,,,,
West Virginia,74740.05,2018,,,,,,,,,,,,
Wisconsin,298256.875,2018,,,,,,,,,,,,
Wyoming,34759.575,2018,,,,,,,,,,,,
Alabama,216587.525,2019,,,,,,,,,,,,
Alaska,45056.775,2019,,,,,,,,,,,,
Arizona,340259.8,2019,,,,,,,,,,,,
Arkansas,133161.35,2019,,,,,,,,,,,,
California,2567425.625,2019,,,,,,,,,,,,
Colorado,356341.35,2019,,,,,,,,,,,,
Connecticut,272459.425,2019,,,,,,,,,,,,
Delaware,53202.5,2019,,,,,,,,,,,,
District of Columbia,58203.225,2019,,,,,,,,,,,,
Florida,1165093.075,2019,,,,,,,,,,,,
Georgia,522393,2019,,,,,,,,,,,,
Hawaii,79699.725,2019,,,,,,,,,,,,
Idaho,83031.525,2019,,,,,,,,,,,,
Illinois,750935.625,2019,,,,,,,,,,,,
Indiana,329625.05,2019,,,,,,,,,,,,
Iowa,160360.675,2019,,,,,,,,,,,,
Kansas,155125.9,2019,,,,,,,,,,,,
Kentucky,197356.05,2019,,,,,,,,,,,,
Louisiana,222349.1,2019,,,,,,,,,,,,
Maine,68862.975,2019,,,,,,,,,,,,
Maryland,384074.275,2019,,,,,,,,,,,,
Massachusetts,513710.425,2019,,,,,,,,,,,,
Michigan,495268.6,2019,,,,,,,,,,,,
Minnesota,332915.95,2019,,,,,,,,,,,,
Mississippi,117112.825,2019,,,,,,,,,,,,
Missouri,301030.75,2019,,,,,,,,,,,,
Montana,54083.525,2019,,,,,,,,,,,,
Nebraska,105922.225,2019,,,,,,,,,,,,
Nevada,161433.575,2019,,,,,,,,,,,,
New Hampshire,88822.825,2019,,,,,,,,,,,,
New Jersey,633651.025,2019,,,,,,,,,,,,
New Mexico,91853.625,2019,,,,,,,,,,,,
New York,1362298.575,2019,,,,,,,,,,,,
North Carolina,505470.175,2019,,,,,,,,,,,,
North Dakota,44346.9,2019,,,,,,,,,,,,
Ohio,589835.8,2019,,,,,,,,,,,,
Oklahoma,191851.575,2019,,,,,,,,,,,,
Oregon,222256.975,2019,,,,,,,,,,,,
Pennsylvania,739891.825,2019,,,,,,,,,,,,
Rhode Island,61107.15,2019,,,,,,,,,,,,
South Carolina,237024.5,2019,,,,,,,,,,,,
South Dakota,48797.05,2019,,,,,,,,,,,,
Tennessee,338609.2,2019,,,,,,,,,,,,
Texas,1560503.55,2019,,,,,,,,,,,,
Utah,157045.2,2019,,,,,,,,,,,,
Vermont,35584.525,2019,,,,,,,,,,,,
Virginia,507874.15,2019,,,,,,,,,,,,
Washington,490322.15,2019,,,,,,,,,,,,
West Virginia,77329.85,2019,,,,,,,,,,,,
Wisconsin,311019.05,2019,,,,,,,,,,,,
Wyoming,36889.025,2019,,,,,,,,,,,,
Alabama,232040.3,2020,,,,,,,,,,,,
Alaska,45965.05,2020,,,,,,,,,,,,
Arizona,375601.3,2020,,,,,,,,,,,,
Arkansas,142038.45,2020,,,,,,,,,,,,
California,2790523.45,2020,,,,,,,,,,,,
Colorado,378051.375,2020,,,,,,,,,,,,
Connecticut,282486.05,2020,,,,,,,,,,,,
Delaware,55866.75,2020,,,,,,,,,,,,
District of Columbia,61925.5,2020,,,,,,,,,,,,
Florida,1235793.4,2020,,,,,,,,,,,,
Georgia,557601.225,2020,,,,,,,,,,,,
Hawaii,83109.55,2020,,,,,,,,,,,,
Idaho,91448.425,2020,,,,,,,,,,,,
Illinois,794459.5,2020,,,,,,,,,,,,
Indiana,354337.725,2020,,,,,,,,,,,,
Iowa,169994.225,2020,,,,,,,,,,,,
Kansas,164333.6,2020,,,,,,,,,,,,
Kentucky,214052.475,2020,,,,,,,,,,,,
Louisiana,236324.225,2020,,,,,,,,,,,,
Maine,74805.9,2020,,,,,,,,,,,,
Maryland,405454.625,2020,,,,,,,,,,,,
Massachusetts,550459.525,2020,,,,,,,,,,,,
Michigan,537493.475,2020,,,,,,,,,,,,
Minnesota,355211.175,2020,,,,,,,,,,,,
Mississippi,126306.85,2020,,,,,,,,,,,,
Missouri,320698.25,2020,,,,,,,,,,,,
Montana,58769.65,2020,,,,,,,,,,,,
Nebraska,112629.65,2020,,,,,,,,,,,,
Nevada,172538.475,2020,,,,,,,,,,,,
New Hampshire,94440.8,2020,,,,,,,,,,,,
New Jersey,663544.075,2020,,,,,,,,,,,,
New Mexico,99018.025,2020,,,,,,,,,,,,
New York,1442624.65,2020,,,,,,,,,,,,
North Carolina,542726.45,2020,,,,,,,,,,,,
North Dakota,47410.75,2020,,,,,,,,,,,,
Ohio,631330.675,2020,,,,,,,,,,,,
